tweet_id,text,predicted_intent,human_intent,confusion_pair,confusion_count
1780186,@AmazonHelp It may have been delivered but as it’s a block of flats I don’t know to whom and the web site is saying the courier handed them to me.,delivery_address_options,delivery_issue,delivery_issue -> delivery_address_options,4
2454048,"@AmazonHelp Orders are always messed up. I order 3 qty of an item, and ea is shipped separately, on different days. Who does that? Prime is not worth it",delivery_address_options,delivery_issue,delivery_issue -> delivery_address_options,4
740444,"@AmazonHelp No I signed for mine just fine, if late. I am tho concerned as to whether or not they have abandoned everyone else's parcels in my name..",delivery_address_options,delivery_issue,delivery_issue -> delivery_address_options,4
2532513,@AmazonHelp 30th to the 2nd. Just pains me that it's coming from abroad as I needed the items!!!!,delivery_address_options,delivery_issue,delivery_issue -> delivery_address_options,4
1680114,@AmazonHelp I have received an email but there is a problem with it. Is it possible to dm someone?,account_access,other_support,other_support -> account_access,4
2823191,"@AmazonHelp No, I have a private account. I made a different order from your app, which then got partially duplicated into a new, separate order. Normally order from desktop and never had a single problem. First time ordering from the app and this is what happens. 🙄",account_access,other_support,other_support -> account_access,4
784721,@AmazonHelp I only did it to get early access tickets,account_access,other_support,other_support -> account_access,4
284052,"@AmazonHelp in his words he ""cannot able to send you confirmations saar"". He would not let me speak to superiors, nor would he send me a confirmation.",account_access,other_support,other_support -> account_access,4
279664,@AmazonHelp Already made call to customer care but was of no help. Gonna think twice before shopping with Amazon and would not recommend it to others.,return_replacement,other_support,other_support -> return_replacement,4
2263005,@AmazonHelp I’ve already done that before and it was unhelpful. I was told nothing could be done afterwards and that it “rarely” happens. No longer do I believe that. I shouldn’t have to waste any more of my time for your mistakes.,return_replacement,other_support,other_support -> return_replacement,4
257715,"@AmazonHelp So after this response, I tried to explain why this answer didn’t work. I was told to contact @141157 directly. I’ve spent too much time on this",return_replacement,other_support,other_support -> return_replacement,4
439324,"@AmazonHelp i have provided the order numbers. This is what you were doing for 8 hours? this is the definition of solving the problem at the ""earliest""",return_replacement,other_support,other_support -> return_replacement,4
74772,"@AmazonHelp Deprioritized? How about ""neutralized."" I don't ever want you to use Amazon Logistics for me. It's a nightmare. I'm not paying Prime to have my packages delivered by my local pizza delivery guy. I wouldn't trust these people with breadsticks, let alone my Amazon purchases..",product_availability_pricing,delivery_issue,delivery_issue -> product_availability_pricing,3
616948,"@AmazonHelp No, I wont be either. Sounds daft then to moan but I know things won’t improve. In a way I don’t really blame the delivery guy this time. They’re probably under pressure to hit unrealistic deadlines, getting penalised at every one they miss &amp; all for minimum wage or there abouts.",product_availability_pricing,delivery_issue,delivery_issue -> product_availability_pricing,3
782744,@AmazonHelp It was supppsed to be groceries for dinner but now it's looking like it's going to be too late for that,product_availability_pricing,delivery_issue,delivery_issue -> product_availability_pricing,3
1114832,@AmazonHelp livraison prévu pour le 23 octobre avant 20h le truc c'est que j'ai paye des frais de livraison en plus pour être livre le 23,other_support,delivery_issue,delivery_issue -> other_support,2
1353519,@AmazonHelp ¿En qué apartado tendría que hacerlo? https://t.co/6aEJLv8lRn,other_support,delivery_issue,delivery_issue -> other_support,2
1208669,"@AmazonHelp Alors dans ce cas, pourquoi ne pas proposer une solution de rechange comme un point relais ou autre ?",return_replacement,delivery_address_options,delivery_address_options -> return_replacement,1
837520,@AmazonHelp @115850 @115821 @37005 @72281 just now one more cancelled can you please guarantee that my next order will not be cancelled,order_cancellation,delivery_issue,delivery_issue -> order_cancellation,1
779536,"@AmazonHelp I was supposed to receive my package by 9th Oct, instead got a delivery notification but no product.#AmazonIndia#amazon https://t.co/0FoTkdhxS7",order_status,delivery_issue,delivery_issue -> order_status,1
502428,"@AmazonHelp YOU UNDERSTAND MY CONCERN???? Where the hell is my damn package? None of your systems work for this. What a bunch of liars. What can I do, pick a time to call your premium number. Go flip yourselves. You just lie, and wait.",payment_billing,delivery_issue,delivery_issue -> payment_billing,1
911536,"@AmazonHelp https://t.co/JUUVs1xRvv SB claims all products sold on Amazon are authentic. But, you are more modest. I appreciate that.",seller_marketplace,delivery_issue,delivery_issue -> seller_marketplace,1
785504,@AmazonHelp Well why do I've to fill this long form every time? Why can't you take the order ID on DM and sort it ?,delivery_address_options,other_support,other_support -> delivery_address_options,1
1558751,"@AmazonHelp hmm, thanks. i'm wondering if it's actually an AD rather than a recommendation, as noted it's at the top, not among other recommendations,",product_availability_pricing,other_support,other_support -> product_availability_pricing,1
334862,@AmazonHelp It's been fixed now but something that should've taken 5 minutes took an hour and 14 minutes of my Saturday. I was on hold for 20 mins+.,product_issue,other_support,other_support -> product_issue,1
2422753,"@AmazonHelp I already spoke once with the customer care about it and received assurance that the ask would be expedited. However, that hasn't happened. Please help me with more than the regular means of customer support",refund,other_support,other_support -> refund,1
1170020,"@AmazonHelp For whatever reason cs had to send the issue to another department. After over 20 minutes, mostly on hold.",seller_marketplace,other_support,other_support -> seller_marketplace,1
2455770,@AmazonHelp I got my wires crossed .. only the deluxe edition comes with early access .. I’ve got my hero code now .. thanks for the help,prime_membership,product_availability_pricing,product_availability_pricing -> prime_membership,1
430021,"@AmazonHelp Wagner brand brake pads and rotors, and Centric brand brake rotors. I wanted to make sure before I purchased you were an authorized dealer.",product_issue,product_availability_pricing,product_availability_pricing -> product_issue,1
1353532,@AmazonHelp I look forward to hearing from you.,other_support,product_issue,product_issue -> other_support,1
328030,"@AmazonHelp My comment was not about the carrier or the product, but rather spoke in objective terms about the seller's performance re: new vs used",product_issue,seller_marketplace,seller_marketplace -> product_issue,1
