conversation_id,message_count,customer_messages,amazon_messages,is_multi_turn
965004,159,99,60,True
179525,98,60,38,True
440269,80,37,43,True
1279825,75,40,35,True
219588,71,36,35,True
430037,69,47,22,True
341543,69,41,28,True
127995,68,36,32,True
197648,63,31,32,True
197994,61,30,31,True
1421265,60,38,22,True
179397,59,31,28,True
436330,56,33,23,True
971008,53,28,25,True
74739,52,26,26,True
279366,52,28,24,True
1014699,52,33,19,True
1223257,51,42,9,True
1389985,50,23,27,True
522477,50,32,18,True
417817,49,34,15,True
133761,49,28,21,True
919430,48,23,25,True
388458,48,24,24,True
288132,47,22,25,True
16869,47,23,24,True
69932,47,26,21,True
21585,47,20,27,True
438817,47,28,19,True
294787,47,22,25,True
425136,46,24,22,True
1615543,45,33,12,True
969787,45,21,24,True
898763,44,23,21,True
1137322,43,21,22,True
64001,43,23,20,True
734061,43,22,21,True
425408,43,24,19,True
795158,42,23,19,True
440337,42,21,21,True
1014746,42,33,9,True
971744,42,20,22,True
180912,42,22,20,True
343860,41,20,21,True
320017,41,23,18,True
861244,40,22,18,True
1043666,40,21,19,True
397291,40,21,19,True
1381907,39,19,20,True
91374,38,22,16,True
1264451,38,18,20,True
382393,38,22,16,True
354509,38,21,17,True
13165,37,18,19,True
354420,37,16,21,True
793865,37,23,14,True
1030176,37,19,18,True
980151,37,20,17,True
2878652,36,19,17,True
294229,36,19,17,True
314980,36,19,17,True
324123,36,27,9,True
13894,36,21,15,True
238148,36,18,18,True
365217,36,20,16,True
133881,36,19,17,True
665206,36,19,17,True
1286998,36,20,16,True
130867,35,19,16,True
917021,35,17,18,True
180816,35,17,18,True
295276,34,18,16,True
126114,34,18,16,True
231939,34,19,15,True
297318,34,15,19,True
227379,34,23,11,True
744095,34,17,17,True
210444,34,19,15,True
1601104,33,16,17,True
210518,33,17,16,True
334049,33,16,17,True
1380278,33,18,15,True
264722,33,19,14,True
1330229,33,20,13,True
180314,33,19,14,True
783402,33,16,17,True
2104344,32,20,12,True
486690,32,16,16,True
2236312,32,24,8,True
180414,32,16,16,True
294267,32,15,17,True
1710110,32,15,17,True
1042198,32,15,17,True
1744108,32,16,16,True
17215,31,12,19,True
473330,31,17,14,True
1122283,31,15,16,True
848147,31,19,12,True
844079,31,20,11,True
74842,31,15,16,True
33228,31,15,16,True
1118572,31,17,14,True
1075252,31,15,16,True
1079367,31,15,16,True
1604092,31,22,9,True
288085,31,18,13,True
348177,31,20,11,True
629526,31,17,14,True
814287,31,16,15,True
279452,31,16,15,True
1563831,31,22,9,True
1223029,31,16,15,True
66205,31,18,13,True
240125,30,16,14,True
36546,30,15,15,True
30512,30,17,13,True
964972,30,20,10,True
475153,30,17,13,True
2459194,30,16,14,True
77404,30,18,12,True
755049,30,15,15,True
1587307,29,17,12,True
1668844,29,13,16,True
126364,29,15,14,True
69820,29,16,13,True
181154,29,16,13,True
334029,29,17,12,True
1379456,29,16,13,True
756345,29,18,11,True
389940,29,14,15,True
